,symbol
0,ALLL11
1,AMBV4
2,BTOW3
3,BVMF3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRKM5
8,BRFS3
9,CCRO3
10,CMIG4
11,CESP6
12,CIEL3
13,CPLE6
14,CSAN3
15,CPFE3
16,CYRE3
17,DTEX3
18,ECOD3
19,ELET3
20,ELET6
21,ELPL6
22,EMBR3
23,FIBR3
24,GFSA3
25,GGBR4
26,GOAU4
27,GOLL4
28,HYPE3
29,ITSA4
30,ITUB4
31,JBSS3
32,LLXL3
33,LAME4
34,LREN3
35,MRFG3
36,MMXM3
37,MRVE3
38,NATU3
39,NETC4
40,OGXP3
41,PCAR5
42,PDGR3
43,PETR3
44,PETR4
45,RDCD3
46,RSID3
47,SANB11
48,CSNA3
49,CRUZ3
50,TAMM4
51,TNLP4
52,TCSL4
53,USIM3
54,USIM5
55,VALE3
56,VALE5
57,VIVO4
