,symbol
0,ALLL3
1,AMBV4
2,BRML3
3,BTOW3
4,BVMF3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRKM5
9,BRFS3
10,BISA3
11,CCRO3
12,CMIG4
13,CESP6
14,CTIP3
15,HGTX3
16,CIEL3
17,CPLE6
18,CSAN3
19,CPFE3
20,CYRE3
21,DASA3
22,DTEX3
23,ELET3
24,ELET6
25,ELPL4
26,EMBR3
27,ENBR3
28,FIBR3
29,GFSA3
30,GGBR4
31,GOAU4
32,GOLL4
33,HYPE3
34,ITSA4
35,ITUB4
36,JBSS3
37,KLBN4
38,LIGT3
39,LLXL3
40,RENT3
41,LAME4
42,LREN3
43,MRFG3
44,MMXM3
45,MRVE3
46,NATU3
47,OGXP3
48,OIBR4
49,PCAR4
50,PDGR3
51,PETR3
52,PETR4
53,RDCD3
54,RSID3
55,SANB11
56,CSNA3
57,CRUZ3
58,SUZB5
59,VIVT4
60,TIMP3
61,UGPA3
62,USIM5
63,VALE3
64,VALE5
