,symbol
0,ALLL11
1,AMBV4
2,ARCZ6
3,BTOW3
4,BVMF3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRTP4
9,BRTO4
10,BRKM5
11,CCRO3
12,CMIG4
13,CESP6
14,CPLE6
15,CSAN3
16,CPFE3
17,CYRE3
18,DURA4
19,ELET3
20,ELET6
21,ELPL6
22,EMBR3
23,ENBR3
24,GFSA3
25,GGBR4
26,GOAU4
27,GOLL4
28,ITSA4
29,ITAU4
30,JBSS3
31,KLBN4
32,LAME4
33,LREN3
34,NATU3
35,NETC4
36,BNCA3
37,PCAR4
38,PRGA3
39,PETR3
40,PETR4
41,RDCD3
42,RSID3
43,SBSP3
44,SDIA4
45,CSNA3
46,CRUZ3
47,SUZB5
48,TAMM4
49,VCPA4
50,TNLP3
51,TNLP4
52,TCSL4
53,UBBR11
54,USIM3
55,USIM5
56,VALE3
57,VALE5
58,VIVO4
