,symbol
0,RRRP3
1,ALPA4
2,ABEV3
3,AMER3
4,ASAI3
5,AZUL4
6,B3SA3
7,BIDI11
8,BPAN4
9,BBSE3
10,BRML3
11,BBDC3
12,BBDC4
13,BRAP4
14,BBAS3
15,BRKM5
16,BRFS3
17,BPAC11
18,CRFB3
19,CCRO3
20,CMIG4
21,CIEL3
22,COGN3
23,CPLE6
24,CSAN3
25,CPFE3
26,CMIN3
27,CVCB3
28,CYRE3
29,DXCO3
30,ECOR3
31,ELET3
32,ELET6
33,EMBR3
34,ENBR3
35,ENGI11
36,ENEV3
37,EGIE3
38,EQTL3
39,EZTC3
40,FLRY3
41,GGBR4
42,GOAU4
43,GOLL4
44,NTCO3
45,SOMA3
46,HAPV3
47,HYPE3
48,IGTI11
49,IRBR3
50,ITSA4
51,ITUB4
52,JBSS3
53,JHSF3
54,KLBN11
55,RENT3
56,LCAM3
57,LWSA3
58,LREN3
59,MGLU3
60,MRFG3
61,CASH3
62,BEEF3
63,MRVE3
64,MULT3
65,PCAR3
66,PETR3
67,PETR4
68,PRIO3
69,PETZ3
70,POSI3
71,QUAL3
72,RADL3
73,RDOR3
74,RAIL3
75,SBSP3
76,SANB11
77,CSNA3
78,SULA11
79,SUZB3
80,TAEE11
81,VIVT3
82,TIMS3
83,TOTS3
84,UGPA3
85,USIM5
86,VALE3
87,VIIA3
88,VBBR3
89,WEGE3
90,YDUQ3
