,symbol
0,ALLL3
1,AMBV4
2,BRML3
3,BTOW3
4,BVMF3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRKM5
9,BRFS3
10,BISA3
11,CCRO3
12,CMIG4
13,CESP6
14,HGTX3
15,CIEL3
16,CPLE6
17,CSAN3
18,CPFE3
19,CYRE3
20,DASA3
21,DTEX3
22,ELET3
23,ELET6
24,ELPL4
25,EMBR3
26,FIBR3
27,GFSA3
28,GGBR4
29,GOAU4
30,GOLL4
31,HYPE3
32,ITSA4
33,ITUB4
34,JBSS3
35,LIGT3
36,LLXL3
37,RENT3
38,LAME4
39,LREN3
40,MRFG3
41,MMXM3
42,MRVE3
43,NATU3
44,OGXP3
45,PCAR4
46,PDGR3
47,PETR3
48,PETR4
49,RDCD3
50,RSID3
51,SANB11
52,CSNA3
53,CRUZ3
54,TAMM4
55,TNLP4
56,TLPP4
57,TIMP3
58,UGPA3
59,USIM3
60,USIM5
61,VALE3
62,VALE5
