,symbol
0,ALLL3
1,AMBV4
2,AEDU3
3,BRML3
4,BBSE3
5,BVMF3
6,BRPR3
7,BBDC3
8,BBDC4
9,BRAP4
10,BBAS3
11,BRKM5
12,BRFS3
13,BISA3
14,CCRO3
15,CMIG4
16,CESP6
17,CTIP3
18,HGTX3
19,CIEL3
20,CPLE6
21,CSAN3
22,CPFE3
23,CYRE3
24,DASA3
25,DTEX3
26,ECOR3
27,ELET3
28,ELET6
29,ELPL4
30,EMBR3
31,ENBR3
32,ESTC3
33,EVEN3
34,FIBR3
35,GFSA3
36,GGBR4
37,GOAU4
38,GOLL4
39,HRTP3
40,HYPE3
41,ITSA4
42,ITUB4
43,JBSS3
44,KLBN4
45,KROT3
46,LIGT3
47,LLXL3
48,RENT3
49,LAME4
50,LREN3
51,MRFG3
52,MMXM3
53,MRVE3
54,NATU3
55,OIBR4
56,PCAR4
57,PDGR3
58,PETR3
59,PETR4
60,QUAL3
61,RSID3
62,SBSP3
63,SANB11
64,CSNA3
65,CRUZ3
66,SUZB5
67,VIVT4
68,TIMP3
69,UGPA3
70,USIM5
71,VALE3
72,VALE5
