,symbol
0,ALLL3
1,AMBV4
2,BTOW3
3,BVMF3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRKM5
8,BRFS3
9,BISA3
10,CCRO3
11,CMIG4
12,CESP6
13,CIEL3
14,CPLE6
15,CSAN3
16,CPFE3
17,CYRE3
18,DTEX3
19,ECOD3
20,ELET3
21,ELET6
22,ELPL4
23,EMBR3
24,FIBR3
25,GFSA3
26,GGBR4
27,GOAU4
28,GOLL4
29,HYPE3
30,ITSA4
31,ITUB4
32,JBSS3
33,LLXL3
34,LAME4
35,LREN3
36,MRFG3
37,MMXM3
38,MRVE3
39,NATU3
40,OGXP3
41,PCAR5
42,PDGR3
43,PETR3
44,PETR4
45,RDCD3
46,RSID3
47,SANB11
48,CSNA3
49,CRUZ3
50,TAMM4
51,TNLP4
52,TCSL4
53,USIM3
54,USIM5
55,VALE3
56,VALE5
57,VIVO4
