,symbol
0,ALLL11
1,AMBV4
2,ARCZ6
3,BTOW3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRTP3
8,BRTP4
9,BRTO4
10,BRKM5
11,CCRO3
12,CLSC6
13,CMIG4
14,CESP6
15,CPLE6
16,CSAN3
17,CPFE3
18,CYRE3
19,DURA4
20,ELET3
21,ELET6
22,ELPL6
23,EMBR3
24,GFSA3
25,GGBR4
26,GOAU4
27,GOLL4
28,PTIP4
29,ITSA4
30,ITAU4
31,KLBN4
32,LIGT3
33,RENT3
34,LAME4
35,LREN3
36,NATU3
37,NETC4
38,BNCA3
39,PCAR4
40,PRGA3
41,PETR3
42,PETR4
43,RSID3
44,SBSP3
45,SDIA4
46,CSNA3
47,CRUZ3
48,SUZB5
49,TAMM4
50,VCPA4
51,TNLP3
52,TNLP4
53,TMAR5
54,TCSL3
55,TCSL4
56,UBBR11
57,USIM5
58,VALE3
59,VALE5
60,VIVO4
