,symbol
0,ALLL3
1,AMBV4
2,BRML3
3,BTOW3
4,BVMF3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRKM5
9,BRFS3
10,BISA3
11,CCRO3
12,CMIG4
13,CESP6
14,CIEL3
15,CPLE6
16,CSAN3
17,CPFE3
18,CYRE3
19,DTEX3
20,ECOD3
21,ELET3
22,ELET6
23,ELPL4
24,EMBR3
25,FIBR3
26,GFSA3
27,GGBR4
28,GOAU4
29,GOLL4
30,HYPE3
31,ITSA4
32,ITUB4
33,JBSS3
34,LIGT3
35,LLXL3
36,LAME4
37,LREN3
38,MRFG3
39,MMXM3
40,MRVE3
41,NATU3
42,OGXP3
43,PCAR4
44,PDGR3
45,PETR3
46,PETR4
47,RDCD3
48,RSID3
49,SANB11
50,CSNA3
51,CRUZ3
52,TAMM4
53,TNLP4
54,TCSL3
55,USIM3
56,USIM5
57,VALE3
58,VALE5
59,VIVO4
