symbol
ABEV3
BTOW3
B3SA3
BBSE3
BRML3
BBDC3
BBDC4
BRAP4
BBAS3
BRKM5
BRFS3
CCRO3
CMIG4
CIEL3
CPLE6
CSAN3
CPFE3
CVCB3
CYRE3
ECOR3
ELET3
ELET6
EMBR3
ENBR3
EGIE3
EQTL3
ESTC3
FIBR3
FLRY3
GGBR4
GOAU4
GOLL4
HYPE3
IGTA3
ITSA4
ITUB4
JBSS3
KLBN11
KROT3
RENT3
LAME4
LREN3
MGLU3
MRFG3
MRVE3
MULT3
NATU3
PCAR4
PETR3
PETR4
QUAL3
RADL3
RAIL3
SBSP3
SAPR11
SANB11
CSNA3
SMLS3
SUZB3
TAEE11
VIVT4
TIMP3
UGPA3
USIM5
VALE3
VVAR11
WEGE3
