symbol
ABEV3
AZUL4
BTOW3
B3SA3
BBSE3
BRML3
BBDC3
BBDC4
BRAP4
BBAS3
BRKM5
BRFS3
BPAC11
CRFB3
CCRO3
CMIG4
HGTX3
CIEL3
COGN3
CSAN3
CPFE3
CVCB3
CYRE3
ECOR3
ELET3
ELET6
EMBR3
ENBR3
ENGI11
EGIE3
EQTL3
FLRY3
GGBR4
GOAU4
GOLL4
NTCO3
HAPV3
HYPE3
IGTA3
GNDI3
IRBR3
ITSA4
ITUB4
JBSS3
KLBN11
RENT3
LAME4
LREN3
MGLU3
MRFG3
BEEF3
MRVE3
MULT3
PCAR3
PETR3
PETR4
BRDT3
QUAL3
RADL3
RAIL3
SBSP3
SANB11
CSNA3
SULA11
SUZB3
TAEE11
VIVT4
TIMP3
TOTS3
UGPA3
USIM5
VALE3
VVAR3
WEGE3
YDUQ3
