,symbol
0,ALLL11
1,AMBV4
2,ARCZ6
3,BTOW3
4,BMEF3
5,BOVH3
6,BBDC4
7,BRAP4
8,BBAS3
9,BRTP3
10,BRTP4
11,BRTO4
12,BRKM5
13,CCRO3
14,CMIG4
15,CESP6
16,CPLE6
17,CSAN3
18,CPFE3
19,CYRE3
20,DURA4
21,ELET3
22,ELET6
23,ELPL6
24,EMBR3
25,ENBR3
26,GFSA3
27,GGBR4
28,GOAU4
29,GOLL4
30,ITSA4
31,ITAU4
32,JBSS3
33,KLBN4
34,LIGT3
35,RENT3
36,LAME4
37,LREN3
38,NATU3
39,NETC4
40,BNCA3
41,PCAR4
42,PRGA3
43,PETR3
44,PETR4
45,POSI3
46,RDCD3
47,RSID3
48,SBSP3
49,SDIA4
50,CSNA3
51,CRUZ3
52,SUZB5
53,TAMM4
54,VCPA4
55,TNLP3
56,TNLP4
57,TMAR5
58,TCSL3
59,TCSL4
60,UBBR11
61,USIM3
62,USIM5
63,VALE3
64,VALE5
65,VIVO4
