,symbol
0,ALLL11
1,AMBV4
2,ARCZ6
3,BTOW3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRTP3
8,BRTP4
9,BRTO4
10,BRKM5
11,CCRO3
12,CLSC6
13,CMIG4
14,CESP6
15,CPLE6
16,CSAN3
17,CPFE3
18,CYRE3
19,DURA4
20,ELET3
21,ELET6
22,ELPL6
23,EMBR3
24,ENBR3
25,GFSA3
26,GGBR4
27,GOAU4
28,GOLL4
29,PTIP4
30,ITSA4
31,ITAU4
32,JBSS3
33,KLBN4
34,LIGT3
35,RENT3
36,LAME4
37,LREN3
38,NATU3
39,NETC4
40,BNCA3
41,PCAR4
42,PRGA3
43,PETR3
44,PETR4
45,POSI3
46,RDCD3
47,RSID3
48,SBSP3
49,SDIA4
50,CSNA3
51,CRUZ3
52,SUZB5
53,TAMM4
54,VCPA4
55,TNLP3
56,TNLP4
57,TMAR5
58,TCSL3
59,TCSL4
60,UBBR11
61,USIM3
62,USIM5
63,VALE3
64,VALE5
65,VIVO4
