,symbol
0,ALLL3
1,AMBV4
2,BRML3
3,BVMF3
4,BRPR3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRKM5
9,BRFS3
10,BISA3
11,CCRO3
12,CMIG4
13,CESP6
14,CTIP3
15,HGTX3
16,CIEL3
17,CPLE6
18,CSAN3
19,CPFE3
20,CYRE3
21,DASA3
22,DTEX3
23,ECOR3
24,ELET3
25,ELET6
26,ELPL4
27,EMBR3
28,ENBR3
29,FIBR3
30,GFSA3
31,GGBR4
32,GOAU4
33,GOLL4
34,HYPE3
35,ITSA4
36,ITUB4
37,JBSS3
38,KLBN4
39,LIGT3
40,LLXL3
41,RENT3
42,LAME4
43,LREN3
44,MRFG3
45,MMXM3
46,MRVE3
47,NATU3
48,OGXP3
49,OIBR4
50,PCAR4
51,PDGR3
52,PETR3
53,PETR4
54,RSID3
55,SBSP3
56,SANB11
57,CSNA3
58,CRUZ3
59,SUZB5
60,VIVT4
61,TIMP3
62,UGPA3
63,USIM5
64,VALE3
65,VALE5
