,symbol
0,ALLL3
1,AMBV4
2,AEDU3
3,BRML3
4,BVMF3
5,BRPR3
6,BBDC3
7,BBDC4
8,BRAP4
9,BBAS3
10,BRKM5
11,BRFS3
12,BISA3
13,CCRO3
14,CMIG4
15,CESP6
16,CTIP3
17,HGTX3
18,CIEL3
19,CPLE6
20,CSAN3
21,CPFE3
22,CYRE3
23,DASA3
24,DTEX3
25,ECOR3
26,ELET3
27,ELET6
28,ELPL4
29,EMBR3
30,ENBR3
31,FIBR3
32,GFSA3
33,GGBR4
34,GOAU4
35,GOLL4
36,HRTP3
37,HYPE3
38,ITSA4
39,ITUB4
40,JBSS3
41,KLBN4
42,LIGT3
43,LLXL3
44,RENT3
45,LAME4
46,LREN3
47,MRFG3
48,MMXM3
49,MRVE3
50,NATU3
51,OGXP3
52,OIBR4
53,PCAR4
54,PDGR3
55,PETR3
56,PETR4
57,RSID3
58,SBSP3
59,SANB11
60,CSNA3
61,CRUZ3
62,SUZB5
63,VIVT4
64,TIMP3
65,UGPA3
66,USIM5
67,VALE3
68,VALE5
