,symbol
0,ALLL3
1,AMBV4
2,BRML3
3,BVMF3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRKM5
8,BRFS3
9,BISA3
10,CCRO3
11,CMIG4
12,CESP6
13,CTIP3
14,HGTX3
15,CIEL3
16,CPLE6
17,CSAN3
18,CPFE3
19,CYRE3
20,DASA3
21,DTEX3
22,ECOR3
23,ELET3
24,ELET6
25,ELPL4
26,EMBR3
27,ENBR3
28,FIBR3
29,GFSA3
30,GGBR4
31,GOAU4
32,GOLL4
33,HYPE3
34,ITSA4
35,ITUB4
36,JBSS3
37,KLBN4
38,LIGT3
39,LLXL3
40,RENT3
41,LAME4
42,LREN3
43,MRFG3
44,MMXM3
45,MRVE3
46,NATU3
47,OGXP3
48,OIBR4
49,PCAR4
50,PDGR3
51,PETR3
52,PETR4
53,RSID3
54,SANB11
55,CSNA3
56,CRUZ3
57,SUZB5
58,VIVT4
59,TIMP3
60,UGPA3
61,USIM5
62,VALE3
63,VALE5
