symbol
ABEV3
BBSE3
BVMF3
BRML3
BBDC3
BBDC4
BRAP4
BBAS3
BRKM5
BRFS3
CCRO3
CMIG4
CIEL3
CPLE6
CSAN3
CPFE3
CYRE3
ECOR3
ELET3
ELET6
EMBR3
ENBR3
EGIE3
EQTL3
ESTC3
FIBR3
GGBR4
GOAU4
HYPE3
ITSA4
ITUB4
JBSS3
KLBN11
KROT3
RENT3
LAME4
LREN3
MRFG3
MRVE3
MULT3
NATU3
PCAR4
PETR3
PETR4
QUAL3
RADL3
RAIL3
SBSP3
SANB11
CSNA3
SMLE3
SUZB5
TAEE11
VIVT4
TIMP3
UGPA3
USIM5
VALE3
WEGE3
