,symbol
0,AGEI3
1,ALLL11
2,AMBV4
3,BTOW3
4,BVMF3
5,BBDC4
6,BRAP4
7,BBAS3
8,BRKM5
9,BRFS3
10,CCRO3
11,CMIG4
12,CESP6
13,CIEL3
14,CPLE6
15,CSAN3
16,CPFE3
17,CYRE3
18,DTEX3
19,ECOD3
20,ELET3
21,ELET6
22,ELPL6
23,EMBR3
24,FIBR3
25,GFSA3
26,GGBR4
27,GOAU4
28,GOLL4
29,ITSA4
30,ITUB4
31,JBSS3
32,LLXL3
33,LAME4
34,LREN3
35,MMXM3
36,MRVE3
37,NATU3
38,NETC4
39,OGXP3
40,PCAR5
41,PDGR3
42,PETR3
43,PETR4
44,RDCD3
45,RSID3
46,SANB11
47,CSNA3
48,CRUZ3
49,TAMM4
50,TNLP4
51,TCSL4
52,USIM3
53,USIM5
54,VALE3
55,VALE5
56,VIVO4
