,symbol
0,ALLL3
1,ABEV3
2,AEDU3
3,BRML3
4,BBSE3
5,BVMF3
6,BRPR3
7,BBDC3
8,BBDC4
9,BRAP4
10,BBAS3
11,BRKM5
12,BRFS3
13,BISA3
14,CCRO3
15,CMIG4
16,CESP6
17,CTIP3
18,HGTX3
19,CIEL3
20,CPLE6
21,CSAN3
22,CPFE3
23,CYRE3
24,DASA3
25,DTEX3
26,ECOR3
27,ELET3
28,ELET6
29,ELPL4
30,EMBR3
31,ENBR3
32,ESTC3
33,EVEN3
34,FIBR3
35,GFSA3
36,GGBR4
37,GOAU4
38,GOLL4
39,HYPE3
40,ITSA4
41,ITUB4
42,JBSS3
43,KLBN4
44,KROT3
45,LIGT3
46,LLXL3
47,RENT3
48,LAME4
49,LREN3
50,MRFG3
51,MRVE3
52,NATU3
53,OIBR4
54,PCAR4
55,PDGR3
56,PETR3
57,PETR4
58,QUAL3
59,RSID3
60,SBSP3
61,SANB11
62,CSNA3
63,CRUZ3
64,SUZB5
65,VIVT4
66,TIMP3
67,TBLE3
68,UGPA3
69,USIM5
70,VALE3
71,VALE5
